projects,Scripts,link,expectedCategory,,
charm-cinder-ceph,/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-cinder-ceph/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-glance,/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-glance/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-glance,/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-glance/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-glance,/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-glance/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-glance,/charmhelpers/contrib/hardening/host/templates/99-hardening.sh,https://github.com/openstack/charm-glance/blob/master/charmhelpers/contrib/hardening/host/templates/99-hardening.sh,Infrastructure-Template,,
charm-glance-simplestreams-sync,/files/glance-simplestreams-sync.sh,https://github.com/openstack/charm-glance-simplestreams-sync/blob/master/files/glance-simplestreams-sync.sh,Conf-Infrastructure-Setup,,
charm-glance-simplestreams-sync,/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-glance-simplestreams-sync/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-heat,/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-heat/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-heat,/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-heat/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-heat,/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-heat/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-keystone,/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-keystone/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-keystone,/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-keystone/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-keystone,/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-keystone/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-keystone,/charmhelpers/contrib/hardening/host/templates/99-hardening.sh,https://github.com/openstack/charm-keystone/blob/master/charmhelpers/contrib/hardening/host/templates/99-hardening.sh,Infrastructure-Template,,
charm-neutron-api,/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-neutron-api/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-neutron-api,/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-neutron-api/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-neutron-api,/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-neutron-api/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-neutron-gateway,/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-neutron-gateway/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-neutron-gateway,/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-neutron-gateway/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-neutron-gateway,/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-neutron-gateway/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-neutron-openvswitch,/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-neutron-openvswitch/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-nova-cloud-controller,/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-nova-cloud-controller/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-nova-cloud-controller,/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-nova-cloud-controller/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-nova-cloud-controller,/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-nova-cloud-controller/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-nova-compute,/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-nova-compute/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-nova-compute,/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-nova-compute/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-nova-compute,/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-nova-compute/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-nova-lxd,/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-nova-lxd/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-openstack-dashboard,/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-openstack-dashboard/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-openstack-dashboard,/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-openstack-dashboard/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-openstack-dashboard,/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-openstack-dashboard/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-rabbitmq-server,/files/collect_rabbitmq_stats.sh,https://github.com/openstack/charm-rabbitmq-server/blob/master/files/collect_rabbitmq_stats.sh,Conf-Infrastructure-Setup,,
charm-rabbitmq-server,/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-rabbitmq-server/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-rabbitmq-server,/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-rabbitmq-server/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-rabbitmq-server,/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-rabbitmq-server/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-swift-proxy,/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-swift-proxy/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-swift-proxy,/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-swift-proxy/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-swift-proxy,/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-swift-proxy/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-swift-storage,/charmhelpers/contrib/hardening/host/templates/99-hardening.sh,https://github.com/openstack/charm-swift-storage/blob/master/charmhelpers/contrib/hardening/host/templates/99-hardening.sh,Infrastructure-Template,,
charm-swift-storage,/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,https://github.com/openstack/charm-swift-storage/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh,Infrastructure-Template,,
charm-swift-storage,/charmhelpers/contrib/openstack/files/check_haproxy.sh,https://github.com/openstack/charm-swift-storage/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh,Conf-Infrastructure-Setup,,
charm-swift-storage,/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,https://github.com/openstack/charm-swift-storage/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh,Conf-Infrastructure-Setup,,
charm-swift-storage,/files/nrpe-external-master/check_swift_replicator_logs.sh,https://github.com/openstack/charm-swift-storage/blob/master/files/nrpe-external-master/check_swift_replicator_logs.sh,Conf-Infrastructure-Setup,,
cinder,/contrib/block-box/scripts/cinder-api.sh,https://github.com/openstack/cinder/blob/master/contrib/block-box/scripts/cinder-api.sh,Service Operations,,
cinder,/contrib/block-box/scripts/lvm-service.sh,https://github.com/openstack/cinder/blob/master/contrib/block-box/scripts/lvm-service.sh,Service Operations,,
cinder,/tools/coding-checks.sh,https://github.com/openstack/cinder/blob/master/tools/coding-checks.sh,Service Operations,,
cinder,/tools/config/check_uptodate.sh,https://github.com/openstack/cinder/blob/master/tools/config/check_uptodate.sh,Service Operations,,
cinder,/tools/fast8.sh,https://github.com/openstack/cinder/blob/master/tools/fast8.sh,Service Operations,,
cinder,/tools/hooks/run_multi_backend_matrix.sh,https://github.com/openstack/cinder/blob/master/tools/hooks/run_multi_backend_matrix.sh,Service Operations,,
cinder,/tools/hooks/utils.sh,https://github.com/openstack/cinder/blob/master/tools/hooks/utils.sh,Service Operations,,
cinder,/tools/mypywrap.sh,https://github.com/openstack/cinder/blob/master/tools/mypywrap.sh,Service Operations,,
cinderlib,/devstack/plugin.sh,https://github.com/openstack/cinderlib/blob/master/devstack/plugin.sh,Service Operations,,
cinderlib,/tools/coding-checks.sh,https://github.com/openstack/cinderlib/blob/master/tools/coding-checks.sh,Service Operations,,
cinderlib,/tools/fast8.sh,https://github.com/openstack/cinderlib/blob/master/tools/fast8.sh,Service Operations,,
cinderlib,/tools/lvm-prepare.sh,https://github.com/openstack/cinderlib/blob/master/tools/lvm-prepare.sh,Service Operations,,
cinderlib,/tools/virtualenv-sudo.sh,https://github.com/openstack/cinderlib/blob/master/tools/virtualenv-sudo.sh,Service Operations,,
cloudkitty,/devstack/plugin.sh,https://github.com/openstack/cloudkitty/blob/master/devstack/plugin.sh,Service Operations,,
compute-hyperv,/tools/tox_install.sh,https://github.com/openstack/compute-hyperv/blob/master/tools/tox_install.sh,Service Operations,,
cookbook-openstack-network,/files/default/neutron-enable-bridge-firewall.sh,https://github.com/openstack/cookbook-openstack-network/blob/master/files/default/neutron-enable-bridge-firewall.sh,Infrastructure-setup,,
cookiecutter,/hooks/post_gen_project.sh,https://github.com/openstack/cookiecutter/blob/master/hooks/post_gen_project.sh,Infrastructure-setup,,
cyborg,/devstack/plugin.sh,https://github.com/openstack/cyborg/blob/master/devstack/plugin.sh,Service Operations,,
cyborg,/devstack/gate/gate_hook.sh,https://github.com/openstack/designate/blob/master/devstack/gate/gate_hook.sh,Service Operations,,
cyborg,/devstack/plugin.sh,https://github.com/openstack/designate/blob/master/devstack/plugin.sh,Service Operations,,
cyborg,/devstack/upgrade/resources.sh,https://github.com/openstack/designate/blob/master/devstack/upgrade/resources.sh,Service Operations,,
cyborg,/devstack/upgrade/shutdown.sh,https://github.com/openstack/designate/blob/master/devstack/upgrade/shutdown.sh,Service Operations,,
cyborg,/devstack/upgrade/upgrade.sh,https://github.com/openstack/designate/blob/master/devstack/upgrade/upgrade.sh,Service Operations,,
cyborg,/tools/pretty_flake8.sh,https://github.com/openstack/designate/blob/master/tools/pretty_flake8.sh,Service Operations,,
cyborg,/tools/with_venv.sh,https://github.com/openstack/designate/blob/master/tools/with_venv.sh,Service Operations,,
devstack,/clean.sh,https://github.com/openstack/devstack/blob/master/clean.sh,Service Operations,,
devstack,/extras.d/80-tempest.sh,https://github.com/openstack/devstack/blob/master/extras.d/80-tempest.sh,Conf-Infrastructure-Setup,,
devstack,/gate/updown.sh,https://github.com/openstack/devstack/blob/master/gate/updown.sh,Conf-Infrastructure-Setup,,
devstack,/samples/local.sh,https://github.com/openstack/devstack/blob/master/samples/local.sh,Conf-Infrastructure-Setup,,
devstack,/stack.sh,https://github.com/openstack/devstack/blob/master/stack.sh,Conf-Infrastructure-Setup,,
devstack,/tools/create-stack-user.sh,https://github.com/openstack/devstack/blob/master/tools/create-stack-user.sh,Service Operations,,
devstack,/tools/create_userrc.sh,https://github.com/openstack/devstack/blob/master/tools/create_userrc.sh,Service Operations,,
devstack,/tools/debug_function.sh,https://github.com/openstack/devstack/blob/master/tools/debug_function.sh,Service Operations,,
devstack,/tools/discover_hosts.sh,https://github.com/openstack/devstack/blob/master/tools/discover_hosts.sh,Service Operations,,
devstack,/tools/dstat.sh,https://github.com/openstack/devstack/blob/master/tools/dstat.sh,Service Operations,,
devstack,/tools/fixup_stuff.sh,https://github.com/openstack/devstack/blob/master/tools/fixup_stuff.sh,Service Operations,,
devstack,/tools/generate-devstack-plugins-list.sh,https://github.com/openstack/devstack/blob/master/tools/generate-devstack-plugins-list.sh,Service Operations,,
devstack,/tools/image_list.sh,https://github.com/openstack/devstack/blob/master/tools/image_list.sh,Service Operations,,
devstack,/tools/info.sh,https://github.com/openstack/devstack/blob/master/tools/info.sh,Service Operations,,
devstack,/tools/install_pip.sh,https://github.com/openstack/devstack/blob/master/tools/install_pip.sh,Service Operations,,
devstack,/tools/install_prereqs.sh,https://github.com/openstack/devstack/blob/master/tools/install_prereqs.sh,Service Operations,,
devstack,/tools/make_cert.sh,https://github.com/openstack/devstack/blob/master/tools/make_cert.sh,Service Operations,,
devstack,/tools/memory_tracker.sh,https://github.com/openstack/devstack/blob/master/tools/memory_tracker.sh,Service Operations,,
devstack,/tools/ping_neutron.sh,https://github.com/openstack/devstack/blob/master/tools/ping_neutron.sh,Service Operations,,
devstack,/tools/upload_image.sh,https://github.com/openstack/devstack/blob/master/tools/upload_image.sh,Service Operations,,
devstack,/unstack.sh,https://github.com/openstack/devstack/blob/master/unstack.sh,Conf-Infrastructure-Setup,,
devstack-gate,/devstack-vm-gate-dev.sh,https://github.com/openstack/devstack-gate/blob/master/devstack-vm-gate-dev.sh,Service Operations,,
devstack-gate,/devstack-vm-gate-wrap.sh,https://github.com/openstack/devstack-gate/blob/master/devstack-vm-gate-wrap.sh,Service Operations,,
