Project,releasenotes,keywords
,config_scheduler_driver-e751ae392bc1a1d0.yaml,
,config_scheduler_host_manager_driver-a543a74ea70f5e90.yaml,
,configure-amount-of-pcie-ports-486bfa44e9fbdd84.yaml,
,deprecate-barbican-config-options-68ae65643ac41e2f.yaml,
,deprecate-config-image-file-url-46c20999756afce0.yaml,
,deprecate-config-s3-image-adb7c86c9b9220a5.yaml,
,deprecate-config_drive_format-62d481260c254187.yaml,
,deprecate-configurable-hide-server-address-feature-0ca03d8c8d11e991.yaml,
,force_config_drive_opt-e087055e14c40d88.yaml,
,instance-list-limit-to-cells-config-f72701ac68444e95.yaml,
,libvirt-deprecate-migration-flags-config-4ba1e2d6c9ef09ff.yaml,
,libvirt-pmu-configuration-ec24904bddc84bef.yaml,
,live-migrate-config-option-force-minimum-value-c62ad8481614b146.yaml,
,Make-versioned-notifications-topics-configurable-a4baad995a74a076.yaml,
,mutable-config-e7e82b3d7c38f3a5.yaml,
,oslo_reports_config-23d89ab202937d25.yaml,
,placement-config-section-59891ba38e0749e7.yaml,
,placement-incomplete-consumer-configuration-b775dac1bcd34f9d.yaml,
,provider-config-file-bf026380cb5a7898.yaml,
,quota-config-group-8028127074d43c48.yaml,
,rebuild-ironic-config-drive-77bea47ad20c105b.yaml,
,remove-config-serial-listen-2660be1c0863ea5a.yaml,
,remove-db_driver-config-opt-50110843b3221fc4.yaml,
,remove-deprecated-extensions-enable-config-options-d6b3d62a6cc1cbe5.yaml,
,remove-deprecated-legacy_api-config-options-f3f096df3a03d956.yaml,
,remove-libvirt-migration-flags-config-8bf909c1295cc53f.yaml,
,remove-nova-cells-topic-config-a7cd4d1a3e2d7d5b.yaml,
,remove-scheduler_json_config_location-option-c669e8c9867ce0fb.yaml,
,remove-topic-config-opts-336f72bebf4e9141.yaml,
,remove-topic-config-opts-705ebd829a6e80b6.yaml,
,remove-unused-config-opt-fake-call-37a56f6ec15f7d90.yaml,
,remove-unused-config-opt-iqn_prefix-defb44120dae93e3.yaml,
,remove-wsdl-location-config-33d439f7fb7036a2.yaml,
,remove_config_network_device_mtu-75780f727c322ff3.yaml,
,remove_deprecated_barbican_config_opts-7eb4e801d0ac252f.yaml,
,remove_deprecated_image_file_config_opts-d7bf437f518b6eca.yaml,
,remove_service_manager_config_options-2e1eaae92ea82d84.yaml,
,rm-config-option-snapshot_name_template-1d8b1ee431d30e4d.yaml,
,rocky-quota-driver-config-6459e19ef2b43aa2.yaml,
,unsettable-keymap-settings-fa831c02e4158507.yaml,
,add-api-config-to-api-group-af20a57a9e3e1b85.yaml,
,add-association-refresh-config-opt-d1ca1af238d10c9a.yaml,
,add-cloudpipe-config-to-cloudpipe-group-ab96ebcb3ffc5d82.yaml,
,add-consoleauth-config-to-consoleauth-group-aaa4d9ab8db7c78a.yaml,
,add-crypto-config-to-crypto-group-ac6c75ccf3c815f1.yaml,
,add-ironic-configdrive-network-metadata-4e8f06dfd6d6d6d4.yaml,
,add-novnc-proxy-config-to-vnc-group-f5bb68740f623744.yaml,
,add-pci-config-to-pci-group-5648cc0f307f24f8.yaml,
,add-scheduler-config-to-scheduler-group-c83bc770e67ac115.yaml,
,add-wsgi-config-to-wsgi-group-712b8cd9ada65b2e.yaml,
,add-xvp-config-to-vnc-group-349cca99f05fcfd3.yaml,
,config-cinder-admin-creds-b86038a3e87a1021.yaml,
,config-ironic-client_log_level-2bb84f12154417ca.yaml,
,config_scheduler_driver-e751ae392bc1a1d0.yaml,
,config_scheduler_host_manager_driver-a543a74ea70f5e90.yaml,
,configure-amount-of-pcie-ports-486bfa44e9fbdd84.yaml,
,deprecate-barbican-config-options-68ae65643ac41e2f.yaml,
,deprecate-config-image-file-url-46c20999756afce0.yaml,
,deprecate-config-s3-image-adb7c86c9b9220a5.yaml,
,deprecate-config_drive_format-62d481260c254187.yaml,
,deprecate-configurable-hide-server-address-feature-0ca03d8c8d11e991.yaml,
,force_config_drive_opt-e087055e14c40d88.yaml,
,instance-list-limit-to-cells-config-f72701ac68444e95.yaml,
,libvirt-deprecate-migration-flags-config-4ba1e2d6c9ef09ff.yaml,
,libvirt-pmu-configuration-ec24904bddc84bef.yaml,
,live-migrate-config-option-force-minimum-value-c62ad8481614b146.yaml,
,Make-versioned-notifications-topics-configurable-a4baad995a74a076.yaml,
,mutable-config-e7e82b3d7c38f3a5.yaml,
,oslo_reports_config-23d89ab202937d25.yaml,
,placement-config-section-59891ba38e0749e7.yaml,
,placement-incomplete-consumer-configuration-b775dac1bcd34f9d.yaml,
,provider-config-file-bf026380cb5a7898.yaml,
,quota-config-group-8028127074d43c48.yaml,
,rebuild-ironic-config-drive-77bea47ad20c105b.yaml,
,remove-config-serial-listen-2660be1c0863ea5a.yaml,
,remove-db_driver-config-opt-50110843b3221fc4.yaml,
,remove-deprecated-extensions-enable-config-options-d6b3d62a6cc1cbe5.yaml,
,remove-deprecated-legacy_api-config-options-f3f096df3a03d956.yaml,
,remove-libvirt-migration-flags-config-8bf909c1295cc53f.yaml,
,remove-nova-cells-topic-config-a7cd4d1a3e2d7d5b.yaml,
,remove-scheduler_json_config_location-option-c669e8c9867ce0fb.yaml,
,remove-topic-config-opts-336f72bebf4e9141.yaml,
,remove-topic-config-opts-705ebd829a6e80b6.yaml,
,remove-unused-config-opt-fake-call-37a56f6ec15f7d90.yaml,
,remove-unused-config-opt-iqn_prefix-defb44120dae93e3.yaml,
,remove-wsdl-location-config-33d439f7fb7036a2.yaml,
,remove_config_network_device_mtu-75780f727c322ff3.yaml,
,remove_deprecated_barbican_config_opts-7eb4e801d0ac252f.yaml,
,remove_deprecated_image_file_config_opts-d7bf437f518b6eca.yaml,
,remove_service_manager_config_options-2e1eaae92ea82d84.yaml,
,rm-config-option-snapshot_name_template-1d8b1ee431d30e4d.yaml,
,rocky-quota-driver-config-6459e19ef2b43aa2.yaml,
,unsettable-keymap-settings-fa831c02e4158507.yaml,
